Date,y,close_kospi,dubai,close_diff,hybb,keyword
2023-02-24,1298.079956,2423.61,82.07,-1.1049999999999995,2.84,30.81247
2023-02-27,1313.699951,2402.64,82.21,-1.108,2.80,46.97708
2023-02-27,1313.699951,2402.64,82.21,-1.108,2.8,46.97708
2023-02-28,1318.349976,2412.85,81.92,-1.0819999999999999,2.82,40.27365
2023-03-01,1321.599976,2412.85,82.48,-1.065,2.78,22.50742
2023-03-02,1305.72998,2427.85,82.87,-0.9909999999999997,2.79,35.30971
2023-03-03,1311.060059,2432.07,83.23,-1.0709999999999997,2.68,25.24395
2023-03-06,1294.780029,2462.62,84.11,-1.092,2.61,27.67288
2023-03-07,1299.0,2463.35,84.6,-1.2440000000000002,2.62,22.60288
2023-03-08,1317.900024,2431.91,81.99,-1.2540000000000004,2.72,42.86168
2023-03-09,1316.449951,2419.09,81.8,-1.2750000000000004,2.89,34.72634
2023-03-10,1325.550049,2394.59,80.23,-1.1720000000000002,3.19,35.40517
2023-03-13,1319.540039,2410.6,82.35,-0.7469999999999999,3.54,49.43784
2023-03-14,1296.380005,2348.97,79.07,-0.7899999999999996,3.27,33.01866
2023-03-15,1304.579956,2379.72,77.82,-0.8159999999999994,3.66,32.20195
2023-03-16,1311.73999,2377.91,73.96,-0.9140000000000001,3.39,23.04836
2023-03-17,1301.619995,2395.69,74.84,-0.8679999999999999,3.61,21.14976
2023-03-20,1307.650024,2379.2,70.31,-0.903,3.56,28.02291
2023-03-21,1304.939941,2388.35,73.74,-1.0230000000000001,3.28,25.1591
2023-03-22,1303.439941,2416.96,74.59,-1.0630000000000002,3.43,20.53457
2023-03-23,1298.25,2424.48,76.12,-0.9609999999999999,3.52,53.37293
2023-03-24,1286.290039,2414.96,75.14,-0.9290000000000003,3.61,29.52906
2023-03-27,1294.829956,2409.22,74.77,-0.9700000000000002,3.42,24.27874
2023-03-28,1297.800049,2434.94,77.89,-0.9639999999999995,3.4,21.13915
2023-03-28,1297.800049,2434.94,77.89,-0.9639999999999995,3.40,21.13915
2023-03-29,1296.97998,2443.92,78.04,-1.0,3.24,17.37378
2023-03-30,1307.130005,2453.16,77.78,-1.0669999999999997,3.16,20.77853
2023-03-31,1296.5,2476.86,78.08,-1.1509999999999998,2.88,19.37844
2023-04-03,1305.47998,2472.34,84.1,-1.2030000000000003,2.91,33.2308
2023-04-04,1308.050049,2480.51,85.08,-1.1510000000000002,3.03,24.48027
2023-04-05,1312.410034,2495.21,84.89,-1.1339999999999995,3.12,20.79974
2023-04-06,1316.209961,2459.23,84.57,-1.2089999999999996,3.1,27.58803
2023-04-06,1316.209961,2459.23,84.57,-1.2089999999999996,3.10,27.58803
2023-04-07,1317.939941,2490.41,84.57,-1.2420000000000004,3.10,20.20577
2023-04-10,1315.449951,2512.08,84.76,-1.2619999999999996,2.97,24.78786
2023-04-11,1320.880005,2547.86,84.53,-1.2849999999999997,2.9,26.80313
2023-04-11,1320.880005,2547.86,84.53,-1.2849999999999997,2.90,26.80313
2023-04-12,1322.089966,2550.64,85.58,-1.2790000000000004,2.92,32.56257
2023-04-13,1322.829956,2561.66,87.36,-1.2430000000000003,2.81,33.99448
2023-04-14,1301.430054,2571.49,86.06,-1.3029999999999995,2.77,38.21595
2023-04-17,1303.380005,2575.91,85.93,-1.2389999999999999,2.76,25.18031
2023-04-18,1316.069946,2571.09,84.69,-1.2479999999999998,2.73,22.44378
2023-04-19,1315.900024,2575.08,83.58,-1.234,2.77,28.40475
2023-04-20,1326.76001,2563.11,81.74,-1.225,2.89,25.43487
2023-04-21,1323.599976,2544.4,80.77,-1.2079999999999997,2.83,22.30589
2023-04-24,1329.380005,2523.5,80.95,-1.2689999999999997,2.84,30.33517
2023-04-25,1332.800049,2489.02,82.79,-1.2310000000000003,3,26.09249
2023-04-25,1332.800049,2489.02,82.79,-1.2310000000000003,3.00,26.09249
2023-04-26,1341.0,2484.83,80.28,-1.2180000000000004,2.99,28.10776
2023-04-27,1337.829956,2495.81,78.0,-1.2710000000000004,2.85,27.55621
2023-04-28,1339.390015,2501.53,79.73,-1.3810000000000002,2.87,21.02248
2023-05-01,1337.170044,2501.53,79.73,-1.3010000000000006,2.85,14.30844
2023-05-02,1342.790039,2524.39,78.61,-1.3150000000000004,3.1,27.77895
2023-05-02,1342.790039,2524.39,78.61,-1.3150000000000004,3.10,27.77895
2023-05-03,1342.300049,2501.4,73.66,-1.4000000000000004,3.18,28.28807
2023-05-04,1335.22998,2500.94,72.97,-1.2560000000000002,3.33,37.38862
2023-05-05,1320.150024,2500.94,73.27,-1.3379999999999996,3.16,13.67204
2023-05-08,1316.959961,2513.21,76.21,-1.3359999999999999,3.11,24.09843
2023-05-09,1322.410034,2510.06,75.85,-1.342,3.12,22.51803
2023-05-10,1326.050049,2496.51,75.74,-1.3159999999999998,3.18,21.89223
2023-05-11,1318.050049,2491.0,76.22,-1.3689999999999998,3.21,23.30292
