Date,keyword
2017-08-17,5.90793
2017-08-18,7.27619
2017-08-19,1.50615
2017-08-20,1.81374
2017-08-21,13.88417
2017-08-22,14.0857
2017-08-23,11.10521
2017-08-24,6.25795
2017-08-25,5.78065
2017-08-26,1.81374
2017-08-27,2.17437
2017-08-28,15.86762
2017-08-29,11.57191
2017-08-30,9.16419
2017-08-31,8.76113
2017-09-01,4.64573
2017-09-02,2.32286
2017-09-03,5.07
2017-09-04,21.46796
2017-09-05,9.15358
2017-09-06,10.43699
2017-09-07,7.31862
2017-09-08,5.48366
2017-09-09,1.79253
2017-09-10,2.0683
2017-09-11,6.40644
2017-09-12,6.36402
2017-09-13,4.40178
2017-09-14,4.20025
2017-09-15,3.18201
2017-09-16,1.02885
2017-09-17,1.44251
2017-09-18,5.15485
2017-09-19,3.88205
2017-09-20,4.01994
2017-09-21,10.15061
2017-09-22,12.49469
2017-09-23,1.17734
2017-09-24,1.58039
2017-09-25,11.30674
2017-09-26,12.73865
2017-09-27,11.05218
2017-09-28,18.74204
2017-09-29,8.83538
2017-09-30,1.36826
2017-10-01,0.94399
2017-10-02,1.36826
2017-10-03,1.10309
2017-10-04,0.82732
2017-10-05,1.08188
2017-10-06,1.25159
2017-10-07,1.10309
2017-10-08,1.45311
2017-10-09,3.19261
2017-10-10,18.31777
2017-10-11,6.77768
2017-10-12,9.45057
2017-10-13,5.07
2017-10-14,2.26983
2017-10-15,2.00466
2017-10-16,7.7641
2017-10-17,4.40178
2017-10-18,7.48833
2017-10-19,5.87611
2017-10-20,6.98981
2017-10-21,1.30462
2017-10-22,1.85617
2017-10-23,14.44633
2017-10-24,9.23843
2017-10-25,10.25668
2017-10-26,8.34747
2017-10-27,10.6067
2017-10-28,1.7501
2017-10-29,1.33644
2017-10-30,16.99193
2017-10-31,10.88247
2017-11-01,18.84811
2017-11-02,13.52354
2017-11-03,9.07933
2017-11-04,2.2274
2017-11-05,2.91684
2017-11-06,11.13703
2017-11-07,15.24183
2017-11-08,7.36105
2017-11-09,10.90369
2017-11-10,9.38693
2017-11-11,1.35765
2017-11-12,1.31523
2017-11-13,9.86423
2017-11-14,6.42766
2017-11-15,7.88078
2017-11-16,50.0106
2017-11-17,26.05006
2017-11-18,2.89563
2017-11-19,2.65167
2017-11-20,16.82223
2017-11-21,13.04624
2017-11-22,10.67034
2017-11-23,11.46584
2017-11-24,20.50275
2017-11-25,2.60924
2017-11-26,2.52439
2017-11-27,14.55239
2017-11-28,9.54603
2017-11-29,28.65931
2017-11-30,23.02715
2017-12-01,7.23377
2017-12-02,2.0577
2017-12-03,2.2168
2017-12-04,14.81756
2017-12-05,11.02036
2017-12-06,7.79592
2017-12-07,6.00339
2017-12-08,5.5473
2017-12-09,1.84556
2017-12-10,2.13194
2017-12-11,10.62791
2017-12-12,6.6504
2017-12-13,7.50954
2017-12-14,11.25371
2017-12-15,6.09885
2017-12-16,1.24098
2017-12-17,1.56979
2017-12-18,4.51845
2017-12-19,6.09885
2017-12-20,6.71404
2017-12-21,13.51294
2017-12-22,6.04582
2017-12-23,1.85617
2017-12-24,1.62282
2017-12-25,1.72889
2017-12-26,15.42214
2017-12-27,17.00254
2017-12-28,13.7675
2017-12-29,8.28383
2017-12-30,3.38353
2017-12-31,2.10012
2018-01-01,2.64106
2018-01-02,17.37378
2018-01-03,11.49766
2018-01-04,12.84471
2018-01-05,10.00212
2018-01-06,4.85787
2018-01-07,4.69876
2018-01-08,17.05557
2018-01-09,14.563
2018-01-10,15.72974
2018-01-11,10.88247
2018-01-12,12.15528
2018-01-13,3.90326
2018-01-14,4.30632
2018-01-15,8.77174
2018-01-16,7.53075
2018-01-17,6.10946
2018-01-18,5.19728
2018-01-19,4.97454
2018-01-20,3.41535
2018-01-21,3.18201
2018-01-22,7.26559
2018-01-23,9.33389
2018-01-24,8.7081
2018-01-25,13.67204
2018-01-26,8.0717
2018-01-27,1.70767
2018-01-28,2.42893
2018-01-29,6.86253
2018-01-30,9.64149
2018-01-31,7.52015
2018-02-01,7.22316
2018-02-02,12.15528
2018-02-03,5.60033
2018-02-04,4.58209
2018-02-05,13.19473
2018-02-06,24.63937
2018-02-07,7.9232
2018-02-08,5.58973
2018-02-09,10.26728
2018-02-10,1.54857
2018-02-11,2.11073
2018-02-12,7.55197
2018-02-13,4.98515
2018-02-14,4.06236
2018-02-15,1.66525
2018-02-16,1.26219
2018-02-17,1.38947
2018-02-18,1.93042
2018-02-19,10.80823
2018-02-20,5.40941
2018-02-21,4.1154
2018-02-22,5.61094
2018-02-23,4.94272
2018-02-24,1.62282
2018-02-25,1.99406
2018-02-26,7.58379
2018-02-27,7.1277
2018-02-28,5.40941
2018-03-01,2.57742
2018-03-02,4.20025
2018-03-03,2.26983
2018-03-04,2.34408
2018-03-05,6.661
2018-03-06,4.83665
2018-03-07,8.36868
2018-03-08,4.52906
2018-03-09,5.13364
2018-03-10,1.38947
2018-03-11,1.72889
2018-03-12,10.26728
2018-03-13,4.99575
2018-03-14,5.12303
2018-03-15,4.03054
2018-03-16,6.54433
2018-03-17,1.52736
2018-03-18,2.16376
2018-03-19,6.24734
2018-03-20,4.31692
2018-03-21,4.00933
2018-03-22,13.619
2018-03-23,17.97836
2018-03-24,4.7624
2018-03-25,4.04115
2018-03-26,13.88417
2018-03-27,8.44293
2018-03-28,5.80186
2018-03-29,9.55663
2018-03-30,9.30207
2018-03-31,2.99109
2018-04-01,2.43954
2018-04-02,17.96775
2018-04-03,17.98896
2018-04-04,7.61561
2018-04-05,12.07042
2018-04-06,6.52312
2018-04-07,1.591
2018-04-08,2.15316
2018-04-09,10.19304
2018-04-10,4.30632
2018-04-11,3.63809
2018-04-12,4.62452
2018-04-13,3.81841
2018-04-14,3.28807
2018-04-15,2.25922
2018-04-16,17.63894
2018-04-17,4.98515
2018-04-18,7.57318
2018-04-19,6.32159
2018-04-20,7.89138
2018-04-21,2.04709
2018-04-22,1.85617
2018-04-23,9.05812
2018-04-24,8.41111
2018-04-25,7.25498
2018-04-26,5.91854
2018-04-27,5.51548
2018-04-28,1.86677
2018-04-29,1.98345
2018-04-30,11.81586
2018-05-01,2.65167
2018-05-02,7.33983
2018-05-03,5.95036
2018-05-04,6.95799
2018-05-05,1.52736
2018-05-06,1.24098
2018-05-07,2.46075
2018-05-08,19.98302
2018-05-09,5.88672
2018-05-10,5.82308
2018-05-11,5.25031
2018-05-12,1.77131
2018-05-13,1.76071
2018-05-14,7.30801
2018-05-15,5.89732
2018-05-16,5.73822
2018-05-17,4.15782
2018-05-18,4.32753
2018-05-19,1.30462
2018-05-20,1.51675
2018-05-21,6.04582
2018-05-22,2.39711
2018-05-23,7.50954
2018-05-24,3.68052
2018-05-25,4.34874
2018-05-26,0.84853
2018-05-27,1.25159
2018-05-28,10.99915
2018-05-29,4.69876
2018-05-30,7.54136
2018-05-31,4.67755
2018-06-01,3.18201
2018-06-02,0.82732
2018-06-03,1.48493
2018-06-04,9.74756
2018-06-05,5.18667
2018-06-06,1.58039
2018-06-07,6.014
2018-06-08,4.00933
2018-06-09,1.17734
2018-06-10,1.82435
2018-06-11,4.5927
2018-06-12,4.01994
2018-06-13,2.10012
2018-06-14,7.10649
2018-06-15,28.45778
2018-06-16,5.56851
2018-06-17,4.77301
2018-06-18,39.69028
2018-06-19,27.5456
2018-06-20,19.49512
2018-06-21,16.44039
2018-06-22,7.81714
2018-06-23,2.45014
2018-06-24,2.49257
2018-06-25,26.58039
2018-06-26,11.68858
2018-06-27,7.90199
2018-06-28,9.86423
2018-06-29,8.78235
2018-06-30,2.68349
2018-07-01,2.2274
2018-07-02,16.61009
2018-07-03,8.51718
2018-07-04,6.20492
2018-07-05,6.10946
2018-07-06,7.68985
2018-07-07,2.11073
2018-07-08,1.88799
2018-07-09,6.44887
2018-07-10,4.92151
2018-07-11,6.78829
2018-07-12,11.90072
2018-07-13,7.41408
2018-07-14,2.63046
2018-07-15,2.57742
2018-07-16,6.54433
2018-07-17,6.07764
2018-07-18,6.95799
2018-07-19,6.24734
2018-07-20,15.48578
2018-07-21,3.46839
2018-07-22,2.00466
2018-07-23,7.81714
2018-07-24,7.00042
2018-07-25,6.9686
2018-07-26,16.01612
2018-07-27,6.98981
2018-07-28,2.32286
2018-07-29,1.72889
2018-07-30,10.52184
2018-07-31,5.2291
2018-08-01,4.36996
2018-08-02,11.14764
2018-08-03,7.78532
2018-08-04,1.89859
2018-08-05,1.79253
2018-08-06,6.5019
2018-08-07,5.78065
2018-08-08,8.96266
2018-08-09,7.05345
2018-08-10,8.82477
2018-08-11,2.84259
2018-08-12,3.21383
2018-08-13,14.2554
2018-08-14,7.93381
2018-08-15,2.77895
2018-08-16,5.8549
2018-08-17,6.60797
2018-08-18,1.21977
2018-08-19,1.17734
2018-08-20,5.00636
2018-08-21,7.52015
2018-08-22,5.00636
2018-08-23,4.25328
2018-08-24,5.01697
2018-08-25,1.58039
2018-08-26,2.00466
2018-08-27,8.89902
2018-08-28,13.16291
2018-08-29,8.25201
2018-08-30,11.73101
2018-08-31,4.67755
2018-09-01,1.49554
2018-09-02,1.70767
2018-09-03,5.7064
2018-09-04,7.25498
2018-09-05,5.3882
2018-09-06,5.73822
2018-09-07,4.50784
2018-09-08,1.53797
2018-09-09,1.21977
2018-09-10,19.7815
2018-09-11,21.13915
2018-09-12,12.14467
2018-09-13,5.20789
2018-09-14,5.57912
2018-09-15,1.78192
